Call number,Customer ID,Duration,Representative,Date of Call,purchase,Rating
Call_7271,C0003,116,,2023-01-01,,
Call_7272,C0004,119,,2023-01-01,,2.9
Call_7273,C0005,68,,2023-01-01,,4.7
Call_7274,C0014,119,,2023-01-01,,2.9
Call_7275,C0011,128,,2023-01-02,,2.8
Call_7276,C0011,49,,2023-01-03,,4.8
Call_7277,C0007,84,,2023-01-03,,4.7
Call_7278,C0003,103,,2023-01-03,,4.4
Call_7279,C0005,31,,2023-01-03,,
Call_7280,C0010,44,,2023-01-03,,2.9
Call_7281,C0011,102,,2023-01-03,,4.9
Call_7282,C0013,135,,2023-01-03,,3.4
Call_7283,C0002,98,,2023-01-04,,3.5
Call_7284,C0010,139,,2023-01-04,,4.0
Call_7285,C0013,48,,2023-01-04,,
Call_7286,C0010,176,,2023-01-05,,4.8
Call_7287,C0010,99,,2023-01-05,,3.9
Call_7288,C0009,28,,2023-01-05,,3.8
Call_7289,C0007,54,,2023-01-05,,4.3
Call_7290,C0006,48,,2023-01-06,,4.4
Call_7291,C0004,128,,2023-01-06,,5.0
Call_7292,C0004,38,,2023-01-07,,4.9
Call_7293,C0003,67,,2023-01-08,,4.5
Call_7294,C0015,58,,2023-01-08,,2.1
Call_7295,C0010,54,,2023-01-08,,3.3
Call_7296,C0012,28,,2023-01-09,,4.1
Call_7297,C0002,73,,2023-01-09,,4.2
Call_7298,C0011,81,,2023-01-10,,4.6
Call_7299,C0009,31,,2023-01-10,,2.9
Call_7300,C0015,155,,2023-01-10,,4.8
Call_7301,C0009,80,,2023-01-10,,4.2
Call_7302,C0011,82,,2023-01-12,,3.7
Call_7303,C0011,29,,2023-01-12,,5.0
Call_7304,C0006,160,,2023-01-14,,5.0
Call_7305,C0001,105,,2023-01-15,,4.8
Call_7306,C0009,75,,2023-01-15,,2.4
Call_7307,C0015,94,,2023-01-16,,3.1
Call_7308,C0004,90,,2023-01-16,,3.2
Call_7309,C0015,81,,2023-01-17,,2.4
Call_7310,C0009,106,,2023-01-17,,5.0
Call_7311,C0004,74,,2023-01-17,,4.7
Call_7312,C0010,105,,2023-01-18,,4.7
Call_7313,C0009,89,,2023-01-18,,4.1
Call_7314,C0013,132,,2023-01-18,,4.1
Call_7315,C0001,105,,2023-01-18,,3.6
Call_7316,C0011,13,,2023-01-19,,4.4
Call_7317,C0014,131,,2023-01-19,,4.4
Call_7318,C0004,104,,2023-01-19,,4.0
Call_7319,C0003,90,,2023-01-20,,3.8
Call_7320,C0012,37,,2023-01-20,,3.6
Call_7321,C0002,149,,2023-01-20,,4.3
Call_7322,C0013,100,,2023-01-21,,3.8
Call_7323,C0013,79,,2023-01-21,,4.5
Call_7324,C0008,157,,2023-01-21,,4.5
Call_7325,C0013,59,,2023-01-22,,4.6
Call_7326,C0012,83,,2023-01-22,,4.5
Call_7327,C0008,58,,2023-01-23,,3.3
Call_7328,C0015,118,,2023-01-23,,2.3
Call_7329,C0011,63,,2023-01-23,,4.3
Call_7330,C0008,95,,2023-01-24,,4.6
Call_7331,C0013,74,,2023-01-24,,4.0
Call_7332,C0010,130,,2023-01-24,,2.5
Call_7333,C0015,110,,2023-01-24,,5.0
Call_7334,C0013,71,,2023-01-25,,3.8
Call_7335,C0001,147,,2023-01-25,,4.4
Call_7336,C0004,69,,2023-01-26,,3.8
Call_7337,C0015,50,,2023-01-26,,2.0
Call_7338,C0010,124,,2023-01-27,,4.1
Call_7339,C0005,81,,2023-01-27,,2.6
Call_7340,C0006,141,,2023-01-27,,0.0
Call_7341,C0006,168,,2023-01-28,,3.9
Call_7342,C0001,101,,2023-01-28,,4.8
Call_7343,C0013,67,,2023-01-28,,2.6
Call_7344,C0008,114,,2023-01-30,,2.6
Call_7345,C0005,42,,2023-01-30,,3.6
Call_7346,C0011,69,,2023-01-30,,3.3
Call_7347,C0010,145,,2023-01-30,,1.9
Call_7348,C0004,43,,2023-01-30,,4.9
Call_7349,C0011,62,,2023-01-31,,3.6
Call_7350,C0009,79,,2023-02-01,,4.5
Call_7351,C0010,45,,2023-02-01,,3.7
Call_7352,C0011,137,,2023-02-01,,4.8
Call_7353,C0008,109,,2023-02-01,,3.3
Call_7354,C0004,78,,2023-02-01,,3.1
Call_7355,C0011,137,,2023-02-01,,4.1
Call_7356,C0014,99,,2023-02-02,,4.9
Call_7357,C0015,100,,2023-02-02,,4.0
Call_7358,C0004,47,,2023-02-02,,2.1
Call_7359,C0008,87,,2023-02-02,,4.5
Call_7360,C0014,143,,2023-02-04,,4.9
Call_7361,C0015,84,,2023-02-04,,4.1
Call_7362,C0001,55,,2023-02-05,,4.5
Call_7363,C0007,135,,2023-02-07,,4.8
Call_7364,C0012,152,,2023-02-07,,4.6
Call_7365,C0005,132,,2023-02-07,,4.6
Call_7366,C0006,60,,2023-02-08,,4.3
Call_7367,C0012,95,,2023-02-08,,5.0
Call_7368,C0003,96,,2023-02-08,,4.0
Call_7369,C0001,45,,2023-02-09,,4.6
Call_7370,C0003,132,,2023-02-10,,4.5
Call_7371,C0013,95,,2023-02-10,,4.6
Call_7372,C0012,131,,2023-02-10,,2.6
Call_7373,C0009,67,,2023-02-11,,4.3
Call_7374,C0014,111,,2023-02-12,,3.9
Call_7375,C0005,78,,2023-02-12,,5.0
Call_7376,C0002,28,,2023-02-12,,3.5
Call_7377,C0004,127,,2023-02-13,,4.7
Call_7378,C0015,137,,2023-02-13,,2.9
Call_7379,C0004,76,,2023-02-13,,3.4
Call_7380,C0005,80,,2023-02-14,,3.2
Call_7381,C0004,95,,2023-02-15,,4.8
Call_7382,C0006,30,,2023-02-15,,3.6
Call_7383,C0011,19,,2023-02-15,,4.9
Call_7384,C0010,38,,2023-02-15,,4.8
Call_7385,C0013,55,,2023-02-15,,3.6
Call_7386,C0009,27,,2023-02-16,,3.9
Call_7387,C0009,32,,2023-02-16,,1.9
Call_7388,C0002,116,,2023-02-16,,3.6
Call_7389,C0003,99,,2023-02-16,,4.1
Call_7390,C0004,75,,2023-02-17,,4.2
Call_7391,C0005,57,,2023-02-17,,4.3
Call_7392,C0007,155,,2023-02-18,,2.2
Call_7393,C0003,68,,2023-02-18,,3.3
Call_7394,C0010,95,,2023-02-18,,4.8
Call_7395,C0015,65,,2023-02-19,,4.0
Call_7396,C0011,114,,2023-02-19,,1.1
Call_7397,C0004,155,,2023-02-20,,3.9
Call_7398,C0015,114,,2023-02-21,,1.8
Call_7399,C0007,130,,2023-02-21,,1.0
Call_7400,C0004,89,,2023-02-21,,4.3
Call_7401,C0001,61,,2023-02-22,,3.4
Call_7402,C0010,154,,2023-02-22,,3.4
Call_7403,C0015,115,,2023-02-23,,4.1
Call_7404,C0008,138,,2023-02-24,,4.8
Call_7405,C0014,153,,2023-02-24,,2.0
Call_7406,C0015,61,,2023-02-25,,4.6
Call_7407,C0009,62,,2023-02-25,,2.6
Call_7408,C0001,151,,2023-02-26,,4.9
Call_7409,C0012,102,,2023-02-26,,2.7
Call_7410,C0006,64,,2023-02-26,,4.1
Call_7411,C0004,6,,2023-02-27,,4.4
Call_7412,C0006,129,,2023-02-27,,4.8
Call_7413,C0009,42,,2023-02-28,,3.0
Call_7414,C0009,71,,2023-02-28,,3.1
Call_7415,C0005,53,,2023-02-28,,2.6
Call_7416,C0011,155,,2023-03-01,,4.6
Call_7417,C0011,90,,2023-03-01,,3.7
Call_7418,C0006,166,,2023-03-01,,3.8
Call_7419,C0002,89,,2023-03-01,,3.6
Call_7420,C0015,152,,2023-03-01,,4.4
Call_7421,C0002,137,,2023-03-01,,3.2
Call_7422,C0002,43,,2023-03-01,,4.7
Call_7423,C0010,114,,2023-03-02,,4.8
Call_7424,C0014,103,,2023-03-02,,2.7
Call_7425,C0002,98,,2023-03-02,,3.8
Call_7426,C0006,106,,2023-03-02,,4.3
Call_7427,C0004,96,,2023-03-02,,5.0
Call_7428,C0014,70,,2023-03-02,,4.8
Call_7429,C0009,86,,2023-03-03,,4.9
Call_7430,C0005,64,,2023-03-03,,4.1
Call_7431,C0004,113,,2023-03-03,,4.4
Call_7432,C0004,21,,2023-03-03,,3.4
Call_7433,C0012,107,,2023-03-03,,4.0
Call_7434,C0012,131,,2023-03-03,,2.4
Call_7435,C0003,11,,2023-03-03,,2.1
Call_7436,C0001,86,,2023-03-03,,3.0
Call_7437,C0005,28,,2023-03-03,,3.2
Call_7438,C0011,139,,2023-03-04,,3.4
Call_7439,C0006,82,,2023-03-04,,2.7
Call_7440,C0004,101,,2023-03-04,,5.0
Call_7441,C0005,75,,2023-03-04,,3.4
Call_7442,C0010,40,,2023-03-05,,4.7
Call_7443,C0002,86,,2023-03-05,,4.5
Call_7444,C0007,131,,2023-03-05,,4.1
Call_7445,C0012,67,,2023-03-05,,5.0
Call_7446,C0008,71,,2023-03-05,,4.7
Call_7447,C0007,113,,2023-03-05,,4.2
Call_7448,C0006,53,,2023-03-06,,3.9
Call_7449,C0007,153,,2023-03-06,,3.0
Call_7450,C0012,73,,2023-03-06,,3.6
Call_7451,C0009,62,,2023-03-06,,0.7
Call_7452,C0011,115,,2023-03-07,,4.7
Call_7453,C0007,69,,2023-03-07,,4.5
Call_7454,C0002,103,,2023-03-07,,4.3
Call_7455,C0002,75,,2023-03-07,,3.4
Call_7456,C0013,92,,2023-03-07,,3.6
Call_7457,C0013,41,,2023-03-07,,4.0
Call_7458,C0002,134,,2023-03-07,,4.5
Call_7459,C0001,80,,2023-03-07,,3.0
Call_7460,C0008,103,,2023-03-08,,3.0
Call_7461,C0006,20,,2023-03-09,,1.6
Call_7462,C0008,75,,2023-03-09,,3.0
Call_7463,C0013,80,,2023-03-09,,3.7
Call_7464,C0007,85,,2023-03-10,,4.9
Call_7465,C0004,155,,2023-03-10,,3.4
Call_7466,C0007,63,,2023-03-10,,5.0
Call_7467,C0005,105,,2023-03-10,,5.0
Call_7468,C0007,71,,2023-03-10,,4.0
Call_7469,C0004,100,,2023-03-11,,3.6
Call_7470,C0003,93,,2023-03-11,,3.7
Call_7471,C0005,84,,2023-03-11,,4.2
Call_7472,C0001,56,,2023-03-11,,2.1
Call_7473,C0001,63,,2023-03-11,,4.0
Call_7474,C0009,83,,2023-03-11,,4.2
Call_7475,C0013,134,,2023-03-11,,3.1
Call_7476,C0011,73,,2023-03-12,,4.8
Call_7477,C0008,6,,2023-03-12,,4.7
Call_7478,C0012,46,,2023-03-12,,3.3
Call_7479,C0008,121,,2023-03-13,,3.7
Call_7480,C0001,61,,2023-03-13,,4.9
Call_7481,C0013,144,,2023-03-13,,3.5
Call_7482,C0012,145,,2023-03-13,,4.4
Call_7483,C0005,85,,2023-03-13,,2.8
Call_7484,C0012,13,,2023-03-14,,4.1
Call_7485,C0003,142,,2023-03-14,,3.5
Call_7486,C0013,28,,2023-03-14,,3.8
Call_7487,C0013,119,,2023-03-14,,3.9
Call_7488,C0008,65,,2023-03-14,,2.5
Call_7489,C0002,68,,2023-03-14,,4.9
Call_7490,C0009,72,,2023-03-14,,3.4
Call_7491,C0009,63,,2023-03-14,,3.3
Call_7492,C0004,139,,2023-03-15,,4.7
Call_7493,C0013,59,,2023-03-15,,4.0
Call_7494,C0006,138,,2023-03-15,,3.8
Call_7495,C0004,47,,2023-03-15,,3.1
Call_7496,C0006,74,,2023-03-15,,4.8
Call_7497,C0009,65,,2023-03-15,,2.7
Call_7498,C0011,123,,2023-03-15,,3.6
Call_7499,C0009,90,,2023-03-16,,4.7
Call_7500,C0001,127,,2023-03-16,,4.4
Call_7501,C0014,60,,2023-03-16,,4.3
Call_7502,C0004,94,,2023-03-16,,4.9
Call_7503,C0011,54,,2023-03-16,,4.8
Call_7504,C0009,104,,2023-03-16,,3.2
Call_7505,C0007,100,,2023-03-16,,3.4
Call_7506,C0006,84,,2023-03-16,,3.5
Call_7507,C0003,92,,2023-03-17,,4.9
Call_7508,C0010,64,,2023-03-17,,4.1
Call_7509,C0005,89,,2023-03-18,,4.9
Call_7510,C0015,40,,2023-03-18,,4.3
Call_7511,C0013,75,,2023-03-18,,4.1
Call_7512,C0001,106,,2023-03-18,,4.4
Call_7513,C0010,58,,2023-03-19,,4.5
Call_7514,C0006,84,,2023-03-19,,3.5
Call_7515,C0009,140,,2023-03-19,,4.4
Call_7516,C0010,67,,2023-03-19,,3.5
Call_7517,C0004,126,,2023-03-20,,3.8
Call_7518,C0004,89,,2023-03-20,,3.3
Call_7519,C0005,56,,2023-03-20,,4.4
Call_7520,C0011,48,,2023-03-20,,3.9
Call_7521,C0004,55,,2023-03-20,,2.7
Call_7522,C0014,88,,2023-03-20,,2.9
Call_7523,C0005,102,,2023-03-21,,4.0
Call_7524,C0014,155,,2023-03-21,,4.4
Call_7525,C0004,63,,2023-03-21,,5.0
Call_7526,C0007,59,,2023-03-21,,4.1
Call_7527,C0007,144,,2023-03-21,,4.4
Call_7528,C0006,113,,2023-03-21,,4.1
Call_7529,C0012,154,,2023-03-21,,4.5
Call_7530,C0012,58,,2023-03-22,,4.2
Call_7531,C0011,63,,2023-03-22,,4.6
Call_7532,C0009,59,,2023-03-22,,4.5
Call_7533,C0008,129,,2023-03-22,,4.1
Call_7534,C0002,101,,2023-03-22,,4.8
Call_7535,C0015,154,,2023-03-22,,3.1
Call_7536,C0010,131,,2023-03-22,,4.9
Call_7537,C0007,111,,2023-03-23,,4.1
Call_7538,C0012,142,,2023-03-24,,4.4
Call_7539,C0005,93,,2023-03-24,,4.4
Call_7540,C0012,125,,2023-03-25,,3.0
Call_7541,C0008,76,,2023-03-25,,4.4
Call_7542,C0006,69,,2023-03-25,,3.7
Call_7543,C0009,149,,2023-03-25,,3.9
Call_7544,C0012,57,,2023-03-25,,3.5
Call_7545,C0004,113,,2023-03-25,,3.5
Call_7546,C0003,160,,2023-03-25,,3.4
Call_7547,C0011,158,,2023-03-25,,4.5
Call_7548,C0006,77,,2023-03-26,,4.2
Call_7549,C0013,118,,2023-03-26,,5.0
Call_7550,C0015,75,,2023-03-26,,4.7
Call_7551,C0004,103,,2023-03-26,,2.8
Call_7552,C0006,116,,2023-03-27,,3.4
Call_7553,C0007,61,,2023-03-27,,1.8
Call_7554,C0012,126,,2023-03-27,,4.2
Call_7555,C0002,141,,2023-03-27,,4.4
Call_7556,C0011,95,,2023-03-27,,2.7
Call_7557,C0015,39,,2023-03-28,,5.0
Call_7558,C0004,127,,2023-03-28,,3.9
Call_7559,C0007,78,,2023-03-28,,3.8
Call_7560,C0013,40,,2023-03-28,,4.6
Call_7561,C0007,56,,2023-03-28,,4.6
Call_7562,C0015,59,,2023-03-28,,4.5
Call_7563,C0012,30,,2023-03-28,,4.2
Call_7564,C0013,63,,2023-03-29,,4.5
Call_7565,C0005,56,,2023-03-29,,4.1
Call_7566,C0008,95,,2023-03-29,,3.3
Call_7567,C0001,128,,2023-03-29,,3.8
Call_7568,C0011,49,,2023-03-29,,3.0
Call_7569,C0001,89,,2023-03-31,,4.6
Call_7570,C0009,87,,2023-03-31,,2.9
Call_7571,C0003,60,,2023-04-01,,3.2
Call_7572,C0014,42,,2023-04-01,,1.5
Call_7573,C0010,99,,2023-04-01,,4.0
Call_7574,C0005,20,,2023-04-01,,3.6
Call_7575,C0013,65,,2023-04-01,,3.7
Call_7576,C0012,71,,2023-04-02,,4.8
Call_7577,C0004,95,,2023-04-02,,1.2
Call_7578,C0005,81,,2023-04-03,,4.7
Call_7579,C0006,137,,2023-04-03,,4.7
Call_7580,C0006,40,,2023-04-03,,4.5
Call_7581,C0010,111,,2023-04-04,,3.5
Call_7582,C0012,106,,2023-04-04,,4.1
Call_7583,C0014,133,,2023-04-04,,4.4
Call_7584,C0007,38,,2023-04-05,,3.6
Call_7585,C0015,130,,2023-04-05,,4.1
Call_7586,C0013,23,,2023-04-05,,4.8
Call_7587,C0015,124,,2023-04-06,,3.9
Call_7588,C0005,107,,2023-04-06,,3.8
Call_7589,C0006,60,,2023-04-06,,3.9
Call_7590,C0006,158,,2023-04-06,,4.1
Call_7591,C0009,110,,2023-04-07,,2.2
Call_7592,C0001,70,,2023-04-07,,5.0
Call_7593,C0001,150,,2023-04-07,,3.8
Call_7594,C0007,36,,2023-04-07,,4.6
Call_7595,C0015,74,,2023-04-07,,4.0
Call_7596,C0004,75,,2023-04-07,,2.8
Call_7597,C0008,70,,2023-04-07,,4.4
Call_7598,C0009,23,,2023-04-07,,2.4
Call_7599,C0010,104,,2023-04-07,,4.0
Call_7600,C0001,95,,2023-04-08,,4.4
Call_7601,C0011,49,,2023-04-08,,2.9
Call_7602,C0012,8,,2023-04-08,,4.8
Call_7603,C0001,157,,2023-04-08,,3.7
Call_7604,C0005,74,,2023-04-08,,4.8
Call_7605,C0009,72,,2023-04-08,,3.2
Call_7606,C0005,79,,2023-04-09,,4.9
Call_7607,C0015,23,,2023-04-09,,2.2
Call_7608,C0004,69,,2023-04-09,,5.0
Call_7609,C0006,64,,2023-04-09,,3.3
Call_7610,C0002,47,,2023-04-09,,3.7
Call_7611,C0005,55,,2023-04-09,,3.7
Call_7612,C0010,104,,2023-04-10,,3.6
Call_7613,C0002,116,,2023-04-10,,4.7
Call_7614,C0015,99,,2023-04-10,,3.1
Call_7615,C0010,84,,2023-04-11,,3.3
Call_7616,C0012,159,,2023-04-11,,4.5
Call_7617,C0007,25,,2023-04-11,,3.9
Call_7618,C0012,53,,2023-04-12,,4.9
Call_7619,C0012,89,,2023-04-12,,4.8
Call_7620,C0014,73,,2023-04-13,,3.6
Call_7621,C0015,50,,2023-04-13,,3.5
Call_7622,C0011,98,,2023-04-13,,3.8
Call_7623,C0013,114,,2023-04-14,,4.4
Call_7624,C0006,67,,2023-04-14,,3.0
Call_7625,C0005,91,,2023-04-14,,4.5
Call_7626,C0008,67,,2023-04-15,,4.5
Call_7627,C0013,139,,2023-04-15,,4.0
Call_7628,C0008,102,,2023-04-15,,3.8
Call_7629,C0001,108,,2023-04-15,,3.3
Call_7630,C0007,66,,2023-04-15,,4.3
Call_7631,C0009,85,,2023-04-15,,4.2
Call_7632,C0006,55,,2023-04-15,,4.3
Call_7633,C0001,17,,2023-04-15,,4.6
Call_7634,C0006,128,,2023-04-15,,3.0
Call_7635,C0015,45,,2023-04-16,,2.7
Call_7636,C0001,41,,2023-04-16,,3.1
Call_7637,C0002,49,,2023-04-16,,2.6
Call_7638,C0004,21,,2023-04-16,,4.6
Call_7639,C0012,133,,2023-04-16,,4.0
Call_7640,C0003,135,,2023-04-16,,4.5
Call_7641,C0013,69,,2023-04-16,,1.9
Call_7642,C0010,110,,2023-04-17,,2.6
Call_7643,C0008,64,,2023-04-17,,4.3
Call_7644,C0005,105,,2023-04-17,,4.4
Call_7645,C0008,165,,2023-04-17,,4.3
Call_7646,C0015,125,,2023-04-17,,4.5
Call_7647,C0005,88,,2023-04-18,,4.2
Call_7648,C0013,6,,2023-04-18,,3.9
Call_7649,C0009,69,,2023-04-19,,3.6
Call_7650,C0001,107,,2023-04-19,,3.8
Call_7651,C0004,90,,2023-04-19,,4.9
Call_7652,C0003,120,,2023-04-19,,4.0
Call_7653,C0011,47,,2023-04-19,,4.1
Call_7654,C0014,60,,2023-04-19,,4.8
Call_7655,C0006,64,,2023-04-19,,2.3
Call_7656,C0008,62,,2023-04-19,,4.4
Call_7657,C0010,88,,2023-04-20,,3.8
Call_7658,C0015,116,,2023-04-20,,5.0
Call_7659,C0004,82,,2023-04-21,,3.3
Call_7660,C0008,99,,2023-04-21,,5.0
Call_7661,C0008,55,,2023-04-21,,2.3
Call_7662,C0006,61,,2023-04-21,,4.8
Call_7663,C0015,36,,2023-04-21,,3.7
Call_7664,C0004,123,,2023-04-21,,4.2
Call_7665,C0002,24,,2023-04-21,,4.8
Call_7666,C0004,43,,2023-04-22,,4.7
Call_7667,C0014,95,,2023-04-22,,3.9
Call_7668,C0008,53,,2023-04-22,,4.3
Call_7669,C0004,113,,2023-04-22,,4.0
Call_7670,C0008,89,,2023-04-22,,4.0
Call_7671,C0010,84,,2023-04-22,,3.2
Call_7672,C0002,130,,2023-04-23,,3.8
Call_7673,C0014,163,,2023-04-23,,3.4
Call_7674,C0009,127,,2023-04-23,,3.2
Call_7675,C0004,50,,2023-04-23,,4.7
Call_7676,C0007,88,,2023-04-23,,4.0
Call_7677,C0004,139,,2023-04-24,,4.8
Call_7678,C0014,111,,2023-04-24,,3.9
Call_7679,C0005,115,,2023-04-24,,4.3
Call_7680,C0008,26,,2023-04-24,,4.2
Call_7681,C0010,131,,2023-04-24,,4.9
Call_7682,C0005,27,,2023-04-24,,4.0
Call_7683,C0012,75,,2023-04-24,,4.9
Call_7684,C0006,123,,2023-04-24,,3.6
Call_7685,C0003,129,,2023-04-25,,4.1
Call_7686,C0012,124,,2023-04-25,,4.9
Call_7687,C0005,108,,2023-04-25,,3.9
Call_7688,C0011,15,,2023-04-25,,4.1
Call_7689,C0005,66,,2023-04-25,,3.8
Call_7690,C0007,126,,2023-04-26,,4.8
Call_7691,C0012,26,,2023-04-26,,4.7
Call_7692,C0002,105,,2023-04-26,,4.2
Call_7693,C0002,31,,2023-04-26,,3.2
Call_7694,C0005,109,,2023-04-26,,3.4
Call_7695,C0003,113,,2023-04-27,,4.6
Call_7696,C0007,101,,2023-04-27,,1.9
Call_7697,C0014,156,,2023-04-27,,3.3
Call_7698,C0005,145,,2023-04-28,,3.1
Call_7699,C0006,36,,2023-04-28,,4.8
Call_7700,C0002,135,,2023-04-29,,3.3
Call_7701,C0007,81,,2023-04-29,,2.9
Call_7702,C0007,81,,2023-04-29,,2.4
Call_7703,C0009,93,,2023-04-29,,4.6
Call_7704,C0005,14,,2023-04-29,,4.8
Call_7705,C0002,95,,2023-04-30,,4.8
Call_7706,C0009,81,,2023-04-30,,3.6
Call_7707,C0008,60,,2023-05-01,,4.8
Call_7708,C0013,137,,2023-05-01,,4.2
Call_7709,C0004,112,,2023-05-01,,2.6
Call_7710,C0002,76,,2023-05-01,,3.7
Call_7711,C0015,73,,2023-05-01,,4.8
Call_7712,C0010,119,,2023-05-01,,4.7
Call_7713,C0003,135,,2023-05-02,,4.1
Call_7714,C0013,41,,2023-05-02,,3.2
Call_7715,C0005,35,,2023-05-03,,4.3
Call_7716,C0003,96,,2023-05-03,,0.7
Call_7717,C0009,61,,2023-05-03,,3.7
Call_7718,C0003,91,,2023-05-03,,3.9
Call_7719,C0001,30,,2023-05-04,,4.5
Call_7720,C0008,111,,2023-05-04,,2.8
Call_7721,C0009,81,,2023-05-04,,4.9
Call_7722,C0002,40,,2023-05-06,,4.2
Call_7723,C0008,143,,2023-05-06,,4.4
Call_7724,C0002,70,,2023-05-07,,3.5
Call_7725,C0015,137,,2023-05-07,,4.7
Call_7726,C0003,52,,2023-05-08,,4.9
Call_7727,C0004,31,,2023-05-08,,4.5
Call_7728,C0003,114,,2023-05-08,,4.9
Call_7729,C0015,73,,2023-05-08,,3.6
Call_7730,C0009,25,,2023-05-08,,3.8
Call_7731,C0011,44,,2023-05-08,,3.5
Call_7732,C0006,34,,2023-05-09,,4.8
Call_7733,C0008,89,,2023-05-10,,4.5
Call_7734,C0010,54,,2023-05-11,,3.3
Call_7735,C0005,25,,2023-05-12,,3.2
Call_7736,C0013,91,,2023-05-12,,4.9
Call_7737,C0011,144,,2023-05-12,,4.8
Call_7738,C0013,81,,2023-05-14,,1.3
Call_7739,C0001,92,,2023-05-14,,3.1
Call_7740,C0005,115,,2023-05-14,,3.4
Call_7741,C0007,56,,2023-05-15,,4.6
Call_7742,C0004,154,,2023-05-15,,4.3
Call_7743,C0008,51,,2023-05-16,,2.7
Call_7744,C0006,21,,2023-05-16,,4.2
Call_7745,C0005,80,,2023-05-17,,4.9
Call_7746,C0008,139,,2023-05-17,,3.2
Call_7747,C0002,50,,2023-05-17,,4.7
Call_7748,C0005,88,,2023-05-17,,4.3
Call_7749,C0010,19,,2023-05-18,,4.3
Call_7750,C0009,104,,2023-05-19,,3.7
Call_7751,C0004,67,,2023-05-21,,4.7
Call_7752,C0012,107,,2023-05-21,,4.9
Call_7753,C0012,93,,2023-05-21,,3.9
Call_7754,C0012,117,,2023-05-21,,4.5
Call_7755,C0002,76,,2023-05-22,,4.6
Call_7756,C0010,64,,2023-05-22,,3.3
Call_7757,C0011,33,,2023-05-22,,3.8
Call_7758,C0012,115,,2023-05-22,,4.7
Call_7759,C0014,155,,2023-05-23,,4.0
Call_7760,C0004,117,,2023-05-23,,4.7
Call_7761,C0008,63,,2023-05-23,,2.5
Call_7762,C0010,59,,2023-05-24,,3.6
Call_7763,C0006,133,,2023-05-24,,3.7
Call_7764,C0001,101,,2023-05-24,,3.9
Call_7765,C0013,151,,2023-05-25,,3.7
Call_7766,C0011,146,,2023-05-25,,4.3
Call_7767,C0008,148,,2023-05-25,,2.9
Call_7768,C0013,81,,2023-05-25,,4.3
Call_7769,C0009,115,,2023-05-25,,4.9
